family_id,family_name,geometry,construction,supplier_product_identity,pressure,vertical_stiffness,lateral_stiffness,longitudinal_stiffness,load_sensitivity,camber_behavior,aligning_torque_trail,relaxation_transient,thermal_architecture,thermal_numeric_calibration,wet_intermediate,wear,degradation,compound_menu,high_speed_growth,failure_behavior,stint_durability,force_moment_data,overall_confidence_score,strongest_evidence_dimensions,weakest_evidence_dimensions,p0_p1_gaps,historical_defensibility_status,supporting_evidence_records,pre_calspan_score,calspan_applicability,architecture_readiness,calspan_digitized_curve_points,numeric_calibration_change,evidence_architecture_uplift,post_calspan_score,pre_calspan_rank,promotion_status,score_interpretation,post_calspan_rank,rank_change
FAM059,Formula Regional first-generation Pirelli control,10.0,10.0,10.0,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,9.2,5.2,8.2,5.2,5.2,7.2,5.2,5.2,5.2,5.2,6.3,construction; geometry; supplier_product_identity; thermal_architecture,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,5,6.3,MECHANISM_ONLY,100.0,0,0.0,0.2,6.5,11,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",11,0
FAM068,2024+ WEC LMGT3 Goodyear control,8.9,7.3,9.9,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,9.9,5.3,5.3,9.9,5.3,5.3,6.9,5.3,6.3,compound_menu; supplier_product_identity; wet_intermediate; geometry,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,2,6.3,MECHANISM_ONLY,100.0,0,0.0,0.2,6.5,12,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",12,0
FAM003,Dunlop R5 nylon treaded GP generation,10.0,10.0,10.0,6.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,8.7,5.0,5.0,5.0,5.0,6.1,construction; geometry; supplier_product_identity; compound_menu,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,8,6.1,MECHANISM_ONLY,100.0,0,0.0,0.2,6.3,13,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",13,0
FAM050,2020+ FIA Formula 2 18-inch Pirelli control,7.6,7.6,7.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,7.6,5.6,5.6,7.6,5.6,5.6,5.6,5.6,6.1,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,6.1,MECHANISM_ONLY,100.0,0,0.0,0.2,6.3,14,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",14,0
FAM060,2026+ Formula Regional second-generation 15-inch Pirelli,9.2,10.0,10.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,6.2,5.1,8.2,5.1,5.1,7.1,5.1,5.1,5.1,5.1,6.1,construction; supplier_product_identity; geometry; wet_intermediate,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,3,6.1,MECHANISM_ONLY,100.0,0,0.0,0.2,6.3,15,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",15,0
FAM076,1970s IMSA GT / Trans-Am slick,8.9,8.7,7.1,6.9,5.1,5.1,5.1,5.1,5.1,5.3,6.9,6.9,5.1,7.1,5.1,5.1,7.1,6.9,5.1,5.1,5.1,6.1,geometry; construction; compound_menu; supplier_product_identity,camber_behavior; degradation; failure_behavior; force_moment_data,"Separate GTU/GTO size, load and supplier data",architecture-correct but numerically weak,2,6.1,MECHANISM_ONLY,100.0,0,0.0,0.2,6.3,16,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",16,0
FAM078,1990s NASCAR radial transition,7.5,7.5,7.7,5.7,5.5,5.5,5.5,5.5,5.7,5.5,5.5,5.7,5.5,7.5,5.5,5.5,7.7,5.5,5.5,5.5,5.5,6.0,compound_menu; supplier_product_identity; construction; geometry,aligning_torque_trail; degradation; failure_behavior; force_moment_data,Year-by-year radial rollout and exact track codes,architecture-correct but numerically weak,1,6.0,MECHANISM_ONLY,100.0,0,0.0,0.2,6.2,17,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",17,0
FAM079,1990s Super Touring radial,7.5,7.5,7.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7.5,5.5,5.5,7.5,5.5,5.5,5.5,5.5,6.0,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,Series supplier setup sheets and FWD axle temperature data,architecture-correct but numerically weak,0,6.0,MECHANISM_ONLY,100.0,0,0.0,0.2,6.2,18,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",18,0
FAM082,1990s CART road/oval radial,7.5,7.5,7.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7.5,5.5,5.5,7.5,5.5,5.5,5.5,5.5,6.0,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Period CART setup guides, pressure ranges and oval construction data",architecture-correct but numerically weak,0,6.0,MECHANISM_ONLY,100.0,0,0.0,0.2,6.2,19,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",19,0
FAM001,Pre-war GP / record racing pneumatic,7.4,7.4,7.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,7.4,5.4,5.4,7.4,5.4,5.4,5.4,5.4,5.9,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Period F&M, inflation pressure, casing/ply, compound and tire-life evidence remain sparse; pre-1930 numerical physics is proxy-based.",architecture-correct but numerically weak,0,5.9,MECHANISM_ONLY,100.0,0,0.0,0.2,6.1,20,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",20,0
FAM047,2017-21 Formula 1 wide 13-inch Pirelli,7.4,7.4,7.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,7.4,5.4,5.4,7.4,5.4,5.4,5.4,5.4,5.9,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.9,MECHANISM_ONLY,100.0,0,0.0,0.2,6.1,21,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",21,0
FAM048,2022-25 Formula 1 18-inch Pirelli,7.4,7.4,7.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,7.4,5.4,5.4,7.4,5.4,5.4,5.4,5.4,5.9,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.9,MECHANISM_ONLY,100.0,0,0.0,0.2,6.1,22,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",22,0
FAM057,Modern INDYCAR Firestone track-specific oval,8.9,8.7,8.9,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.4,5.2,5.2,7.2,5.2,5.2,5.2,5.2,5.9,geometry; supplier_product_identity; construction; wet_intermediate,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,2,5.9,MECHANISM_ONLY,100.0,0,0.0,0.2,6.1,23,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",23,0
FAM081,1990s JGTC GT radial,7.4,7.4,7.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,7.4,5.4,5.4,7.4,5.4,5.4,5.4,5.4,5.9,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Supplier fitment, exact sizes and compound menus by season",architecture-correct but numerically weak,0,5.9,MECHANISM_ONLY,100.0,0,0.0,0.2,6.1,24,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",24,0
FAM085,1990s IMSA GTS / Trans-Am radial,7.4,7.4,7.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,7.4,5.4,5.4,7.4,5.4,5.4,5.4,5.4,5.9,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Exact class/supplier dimensions, pressures and stint falloff",architecture-correct but numerically weak,0,5.9,MECHANISM_ONLY,100.0,0,0.0,0.2,6.1,25,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",25,0
FAM039,1982-86 turbo Formula 1 radial qualifier era,7.3,7.3,7.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,7.3,5.3,5.3,7.3,5.3,5.3,5.3,5.3,5.8,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.8,MECHANISM_ONLY,100.0,0,0.0,0.2,6.0,26,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",26,0
FAM043,2001-06 Formula 1 Michelin/Bridgestone grooved tire-war,8.2,7.2,8.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.2,5.2,5.2,7.2,5.2,5.2,5.2,5.2,5.8,supplier_product_identity; geometry; compound_menu; construction,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,2,5.8,MECHANISM_ONLY,100.0,0,0.0,0.2,6.0,27,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",27,0
FAM049,2026+ Formula 1 narrower 18-inch Pirelli,7.3,7.3,7.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,7.3,5.3,5.3,7.3,5.3,5.3,5.3,5.3,5.8,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.8,MECHANISM_ONLY,100.0,0,0.0,0.2,6.0,28,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",28,0
FAM052,2025+ FIA Formula 3 16-inch Pirelli control,7.3,7.3,7.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,7.3,5.3,5.3,7.3,5.3,5.3,5.3,5.3,5.8,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.8,MECHANISM_ONLY,100.0,0,0.0,0.2,6.0,29,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",29,0
FAM053,2023+ F1 Academy 13-inch Pirelli control,7.3,7.3,7.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,7.3,5.3,5.3,7.3,5.3,5.3,5.3,5.3,5.8,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.8,MECHANISM_ONLY,100.0,0,0.0,0.2,6.0,30,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",30,0
FAM077,1970s-80s NASCAR bias-ply oval,7.3,7.3,7.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,7.3,5.3,5.3,7.3,5.3,5.3,5.3,5.3,5.8,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,Period D-number construction and track bulletin archive,architecture-correct but numerically weak,0,5.8,MECHANISM_ONLY,100.0,0,0.0,0.2,6.0,31,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",31,0
FAM055,Formula E Hankook Gen3 / Gen3 Evo all-weather,7.2,7.2,7.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.2,5.2,5.2,7.2,5.2,5.2,5.2,5.2,5.7,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.7,MECHANISM_ONLY,100.0,0,0.0,0.2,5.9,32,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",32,0
FAM058,2023+ Super Formula SF23 Yokohama control,7.2,7.2,7.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.2,5.2,5.2,7.2,5.2,5.2,5.2,5.2,5.7,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.7,MECHANISM_ONLY,100.0,0,0.0,0.2,5.9,33,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",33,0
FAM074,Can-Am / Group 7 high-power slick,7.6,7.2,7.6,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.2,5.2,5.2,7.2,5.4,5.4,5.2,5.2,5.7,geometry; supplier_product_identity; compound_menu; construction,aligning_torque_trail; camber_behavior; degradation; force_moment_data,"Exact supplier construction, pressures and rear-tire growth by season",architecture-correct but numerically weak,2,5.7,MECHANISM_ONLY,100.0,0,0.0,0.2,5.9,34,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",34,0
FAM051,2019-24 FIA Formula 3 13-inch Pirelli control,7.1,7.1,7.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,7.1,5.1,5.1,7.1,5.1,5.1,5.1,5.1,5.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.6,MECHANISM_ONLY,100.0,0,0.0,0.2,5.8,35,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",35,0
FAM070,2025+ WRC Hankook tarmac dry/wet,7.1,7.1,7.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,7.1,5.1,5.1,7.1,5.1,5.1,5.1,5.1,5.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.6,MECHANISM_ONLY,100.0,0,0.0,0.2,5.8,36,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",36,0
FAM071,2025+ WRC Hankook gravel,7.1,7.1,7.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,7.1,5.1,5.1,7.1,5.1,5.1,5.1,5.1,5.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.6,MECHANISM_ONLY,100.0,0,0.0,0.2,5.8,37,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",37,0
FAM073,2022+ NASCAR Cup Next Gen 18-inch Goodyear,7.1,7.1,7.3,5.3,5.1,5.1,5.1,5.1,5.3,5.1,5.1,5.3,5.1,7.1,5.1,5.1,7.3,5.1,5.1,5.1,5.1,5.6,compound_menu; supplier_product_identity; construction; geometry,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,architecture-correct but numerically weak,1,5.6,MECHANISM_ONLY,100.0,0,0.0,0.2,5.8,38,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",38,0
FAM075,F2 / Formula Atlantic cross-ply slick,7.1,7.1,7.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,7.1,5.1,5.1,7.1,5.1,5.1,5.1,5.1,5.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,Series- and supplier-specific rates and compound windows,architecture-correct but numerically weak,0,5.6,MECHANISM_ONLY,100.0,0,0.0,0.2,5.8,39,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",39,0
FAM038,1977-81 Formula 1 radial/cross-ply transition,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.5,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.5,MECHANISM_ONLY,100.0,0,0.0,0.2,5.7,40,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",40,0
FAM046,2011-16 Formula 1 Pirelli high-degradation 13-inch,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.5,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.5,MECHANISM_ONLY,100.0,0,0.0,0.2,5.7,41,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",41,0
FAM067,2012-23 WEC GTE open-supplier endurance radial,7.4,7.3,8.3,5.3,4.7,4.7,4.7,4.7,4.9,4.7,4.7,5.1,4.7,6.7,4.7,4.7,7.1,6.0,6.0,4.9,4.7,5.5,supplier_product_identity; geometry; construction; compound_menu,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,architecture-correct but numerically weak,8,5.5,MECHANISM_ONLY,100.0,0,0.0,0.2,5.7,42,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",42,0
