content_id,source_group,source_id,title,year,publisher,url,source_type,quality,priority,domains,content_kind,status,known_summary,known_limitations,research_question,extraction_requirements,do_not_infer,identifier
CUR-SRC007-Q1,current_knowledge_deep_mine,SRC007,Standing Waves in Tires,1977,McGivern & Shirk,https://saemobilus.sae.org/papers/standing-waves-tires-770873,SAE paper,A,P1,pressure,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Standing-wave critical speed as function of pressure, speed and spring constant",High-speed structure model,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to pressure that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC007-Q2,current_knowledge_deep_mine,SRC007,Standing Waves in Tires,1977,McGivern & Shirk,https://saemobilus.sae.org/papers/standing-waves-tires-770873,SAE paper,A,P1,pressure,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Standing-wave critical speed as function of pressure, speed and spring constant",High-speed structure model,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for pressure. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC008-Q1,current_knowledge_deep_mine,SRC008,Formation of Standing Waves in Radial Tires,1984,Kwon & Prevorsek,https://tst.kglmeridian.com/view/journals/tist/12/1/article-p44.xml,Tire Science & Technology,A,P1,construction;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,Critical speed linked to casing damping and mass per unit length; damping/rolling-resistance tradeoff,High-speed damping calibration rule,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to construction, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC008-Q2,current_knowledge_deep_mine,SRC008,Formation of Standing Waves in Radial Tires,1984,Kwon & Prevorsek,https://tst.kglmeridian.com/view/journals/tist/12/1/article-p44.xml,Tire Science & Technology,A,P1,construction;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,Critical speed linked to casing damping and mass per unit length; damping/rolling-resistance tradeoff,High-speed damping calibration rule,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for construction, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC009-Q1,current_knowledge_deep_mine,SRC009,Acquisition of Transient Tire Force and Moment Data for Dynamic Vehicle Handling Simulations,1983,Amnon Sitchin / Ford,https://saemobilus.sae.org/papers/acquisition-transient-tire-force-moment-data-dynamic-vehicle-handling-simulations-831790,SAE paper,A,P1,forces;transient,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,Six-component transient F&M matrix; camber cannot be treated as independent additive thrust,Key camber/transient rule,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to forces, transient that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC009-Q2,current_knowledge_deep_mine,SRC009,Acquisition of Transient Tire Force and Moment Data for Dynamic Vehicle Handling Simulations,1983,Amnon Sitchin / Ford,https://saemobilus.sae.org/papers/acquisition-transient-tire-force-moment-data-dynamic-vehicle-handling-simulations-831790,SAE paper,A,P1,forces;transient,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,Six-component transient F&M matrix; camber cannot be treated as independent additive thrust,Key camber/transient rule,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for forces, transient. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC010-Q1,current_knowledge_deep_mine,SRC010,"Lateral Stiffness, Cornering Stiffness and Relaxation Length of the Pneumatic Tire",1990,Loeb et al.,https://saemobilus.sae.org/papers/lateral-stiffness-cornering-stiffness-relaxation-length-pneumatic-tire-900129,SAE paper,A,P1,geometry;forces;transient;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,Experimental relaxation length and first-order lateral-force buildup,Direct transient model basis,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, forces, transient, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC010-Q2,current_knowledge_deep_mine,SRC010,"Lateral Stiffness, Cornering Stiffness and Relaxation Length of the Pneumatic Tire",1990,Loeb et al.,https://saemobilus.sae.org/papers/lateral-stiffness-cornering-stiffness-relaxation-length-pneumatic-tire-900129,SAE paper,A,P1,geometry;forces;transient;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,Experimental relaxation length and first-order lateral-force buildup,Direct transient model basis,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, forces, transient, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC011-Q1,current_knowledge_deep_mine,SRC011,An Efficient Method for Treating Race Tire Force-Moment Data,1994,Hugo S. Radt,https://saemobilus.sae.org/papers/efficient-method-treating-race-tire-force-moment-data-942536,SAE paper,A,P1,geometry;forces;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,Period full-size P275/40VR-17 Goodyear race/performance tire; nondimensional normalization across load,Excellent 1994 BPR-era force-shape anchor,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, forces, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC011-Q2,current_knowledge_deep_mine,SRC011,An Efficient Method for Treating Race Tire Force-Moment Data,1994,Hugo S. Radt,https://saemobilus.sae.org/papers/efficient-method-treating-race-tire-force-moment-data-942536,SAE paper,A,P1,geometry;forces;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,Period full-size P275/40VR-17 Goodyear race/performance tire; nondimensional normalization across load,Excellent 1994 BPR-era force-shape anchor,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, forces, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC012-Q1,current_knowledge_deep_mine,SRC012,Inflation Pressure Effects in the Nondimensional Tire Model,2006,"Kasprzak, Lewis & Milliken",https://www.eng.buffalo.edu/Research/DOES/administrator/components/com_jresearch/files/publications/Kasprzak.SAE.JPC.Inflation.2006.pdf,SAE paper / Calspan,A,P1,geometry;pressure;forces;construction;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Pressure effects on F&M, cornering stiffness, friction coefficient, spring rate and loaded radius; full-size radial racing tire included",Primary pressure/load scaling reference,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, pressure, forces, construction, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC012-Q2,current_knowledge_deep_mine,SRC012,Inflation Pressure Effects in the Nondimensional Tire Model,2006,"Kasprzak, Lewis & Milliken",https://www.eng.buffalo.edu/Research/DOES/administrator/components/com_jresearch/files/publications/Kasprzak.SAE.JPC.Inflation.2006.pdf,SAE paper / Calspan,A,P1,geometry;pressure;forces;construction;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Pressure effects on F&M, cornering stiffness, friction coefficient, spring rate and loaded radius; full-size radial racing tire included",Primary pressure/load scaling reference,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, pressure, forces, construction, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC013-Q1,current_knowledge_deep_mine,SRC013,The Formula SAE Tire Test Consortium—Tire Testing and Data,2006,Kasprzak et al.,https://www.millikenresearch.com/TTC_SAE_paper.pdf,SAE paper / Calspan,A,P1,geometry;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Controlled Calspan F&M testing, static rates and model-fitting workflow",Use curve shapes/scaling only for small tires unless full-size data available,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC013-Q2,current_knowledge_deep_mine,SRC013,The Formula SAE Tire Test Consortium—Tire Testing and Data,2006,Kasprzak et al.,https://www.millikenresearch.com/TTC_SAE_paper.pdf,SAE paper / Calspan,A,P1,geometry;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Controlled Calspan F&M testing, static rates and model-fitting workflow",Use curve shapes/scaling only for small tires unless full-size data available,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC014-Q1,current_knowledge_deep_mine,SRC014,Indy Lights Road Course Tire Data,2017,Cooper/Avon,https://www.avontyres.com/fr-fr/entretien-des-pneus/automobile-ressources/ressources-techniques/indy-lights/,Manufacturer public technical archive,A,P1,geometry;forces;transient;wet;construction;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Public Pacejka model, force-moment data, static/dynamic spring rates, wet rates, superspeedway stability data",Exceptional full-size control radial calibration anchor,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, forces, transient, wet, construction, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC014-Q2,current_knowledge_deep_mine,SRC014,Indy Lights Road Course Tire Data,2017,Cooper/Avon,https://www.avontyres.com/fr-fr/entretien-des-pneus/automobile-ressources/ressources-techniques/indy-lights/,Manufacturer public technical archive,A,P1,geometry;forces;transient;wet;construction;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Public Pacejka model, force-moment data, static/dynamic spring rates, wet rates, superspeedway stability data",Exceptional full-size control radial calibration anchor,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, forces, transient, wet, construction, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC015-Q1,current_knowledge_deep_mine,SRC015,USF2000 Tire Data,2017,Cooper/Avon,https://www.avontyres.com/fr-fr/entretien-des-pneus/automobile-ressources/ressources-techniques/usf2000/,Manufacturer public technical archive,A,P1,construction,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Public full-scale F&M, static spring rate and tech data for control single-seater tire",Lower-load full-scale radial family anchor,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to construction that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC015-Q2,current_knowledge_deep_mine,SRC015,USF2000 Tire Data,2017,Cooper/Avon,https://www.avontyres.com/fr-fr/entretien-des-pneus/automobile-ressources/ressources-techniques/usf2000/,Manufacturer public technical archive,A,P1,construction,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Public full-scale F&M, static spring rate and tech data for control single-seater tire",Lower-load full-scale radial family anchor,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for construction. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC016-Q1,current_knowledge_deep_mine,SRC016,BFGoodrich g-Force Slick for Global Mazda MX-5 Cup,2017,BFGoodrich / Mazda Motorsports,https://www.mazdamotorsports.com/wp-content/uploads/2019/11/mazda-mx-5-cup-bfg-care-feeding-v5-feb-17-final.pdf,Manufacturer technical guide,A,P1,geometry;pressure;thermal;forces;construction;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Exact size, cold/hot pressures, static camber, radial spring rates at two pressures, temperature window",Excellent control-GT/touring pressure-rate anchor,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, pressure, thermal, forces, construction, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC016-Q2,current_knowledge_deep_mine,SRC016,BFGoodrich g-Force Slick for Global Mazda MX-5 Cup,2017,BFGoodrich / Mazda Motorsports,https://www.mazdamotorsports.com/wp-content/uploads/2019/11/mazda-mx-5-cup-bfg-care-feeding-v5-feb-17-final.pdf,Manufacturer technical guide,A,P1,geometry;pressure;thermal;forces;construction;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Exact size, cold/hot pressures, static camber, radial spring rates at two pressures, temperature window",Excellent control-GT/touring pressure-rate anchor,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, pressure, thermal, forces, construction, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
